`Code point`,`Rank 1`,`Rank 2`,`Unicode name`,`WP43 usage`,`Glyph`,`Replacement`,`Code point`
`U+2468`,51,54,`CIRCLED DIGIT NINE`,`Base 9`,`⑨`,`9`,`U+0039`
`U+2469`,55,56,`CIRCLED DIGIT TEN`,`Base 10`,`⑩`,`⑽`,`U+247d`
`U+246a`,57,57,`CIRCLED DIGIT ELEVEN`,`Base 11`,`⑪`,`⑪`,`U+246a`
`U+246b`,58,58,`CIRCLED DIGIT TWELVE`,`Base 12`,`⑫`,`⑫`,`U+246b`
`U+246c`,59,59,`CIRCLED DIGIT THIRTEEN`,`Base 13`,`⑬`,`⑬`,`U+246c`
`U+246d`,60,60,`CIRCLED DIGIT FOURTEEN`,`Base 14`,`⑭`,`⑭`,`U+246d`
`U+246e`,61,61,`CIRCLED DIGIT FIFTEEN`,`Base 15`,`⑮`,`⑮`,`U+246e`
`U+246f`,62,62,`CIRCLED DIGIT SIXTEEN`,`Base 16`,`⑯`,`⑯`,`U+246f`
`U+247d`,55,55,`NUMBER TEN FULL STOP `,`exponent mark`,`⑽`,`⑽`,`U+247d`
`U+2482`,63,67,`PARENTHESIZED NUMBER FIFTEEN`,`Superscript a`,`⒂`,`A`,`U+0041`
`U+2483`,89,93,`PARENTHESIZED NUMBER SIXTEEN`,`Superscript b`,`⒃`,`B`,`U+0042`
`U+2484`,95,99,`PARENTHESIZED NUMBER SEVENTEEN`,`Superscript c`,`⒄`,`C`,`U+0043`
`U+2485`,109,113,`PARENTHESIZED NUMBER EIGHTEEN`,`Superscript d`,`⒅`,`D`,`U+0044`
`U+2486`,121,125,`PARENTHESIZED NUMBER NINETEEN`,`Superscript e`,`⒆`,`E`,`U+0045`
`U+2487`,146,150,`PARENTHESIZED NUMBER TWENTY`,`Superscript f`,`⒇`,`F`,`U+0046`
`U+2488`,152,156,`DIGIT ONE FULL STOP`,`Superscript g`,`⒈`,`G`,`U+0047`
`U+2489`,160,165,`DIGIT TWO FULL STOP`,`Superscript h`,`⒉`,`H`,`U+0048`
`U+248a`,169,173,`DIGIT THREE FULL STOP`,`Superscript i`,`⒊`,`I`,`U+0049`
`U+248b`,191,195,`DIGIT FOUR FULL STOP`,`Superscript j`,`⒋`,`J`,`U+004a`
`U+248c`,197,201,`DIGIT FIVE FULL STOP`,`Superscript k`,`⒌`,`K`,`U+004b`
`U+248d`,203,207,`DIGIT SIX FULL STOP`,`Superscript l`,`⒍`,`L`,`U+004c`
`U+248e`,215,219,`DIGIT SEVEN FULL STOP`,`Superscript m`,`⒎`,`M`,`U+004d`
`U+248f`,221,225,`DIGIT EIGHT FULL STOP`,`Superscript n`,`⒏`,`N`,`U+004e`
`U+2490`,234,238,`DIGIT NINE FULL STOP`,`Superscript o`,`⒐`,`O`,`U+004f`
`U+2491`,259,263,`NUMBER TEN FULL STOP`,`Superscript p`,`⒑`,`P`,`U+0050`
`U+2492`,265,269,`NUMBER ELEVEN FULL STOP`,`Superscript q`,`⒒`,`Q`,`U+0051`
`U+2493`,272,276,`NUMBER TWELVE FULL STOP`,`Superscript r`,`⒓`,`R`,`U+0052`
`U+2494`,283,287,`NUMBER THIRTEEN FULL STOP`,`Superscript s`,`⒔`,`S`,`U+0053`
`U+2495`,296,301,`NUMBER FOURTEEN FULL STOP`,`Superscript t`,`⒕`,`T`,`U+0054`
`U+2496`,307,311,`NUMBER FIFTEEN FULL STOP`,`Superscript u`,`⒖`,`U`,`U+0055`
`U+2497`,331,335,`NUMBER SIXTEEN FULL STOP`,`Superscript v`,`⒗`,`V`,`U+0056`
`U+2498`,337,341,`NUMBER SEVENTEEN FULL STOP`,`Superscript w`,`⒘`,`W`,`U+0057`
`U+2499`,345,349,`NUMBER EIGHTEEN FULL STOP`,`Superscript x`,`⒙`,`X`,`U+0058`
`U+249a`,355,359,`NUMBER NINETEEN FULL STOP`,`Superscript y`,`⒚`,`Y`,`U+0059`
`U+249b`,369,373,`NUMBER TWENTY FULL STOP`,`Superscript z`,`⒛`,`Z`,`U+005a`
`U+249c`,63,68,`PARENTHESIZED LATIN SMALL LETTER A`,`Subscript a`,`⒜`,`A`,`U+0041`
`U+249d`,89,94,`PARENTHESIZED LATIN SMALL LETTER B`,`Subscript b`,`⒝`,`B`,`U+0042`
`U+249e`,95,100,`PARENTHESIZED LATIN SMALL LETTER C`,`Subscript c`,`⒞`,`C`,`U+0043`
`U+249f`,109,114,`PARENTHESIZED LATIN SMALL LETTER D`,`Subscript d`,`⒟`,`D`,`U+0044`
`U+24a0`,121,126,`PARENTHESIZED LATIN SMALL LETTER E`,`Subscript e`,`⒠`,`E`,`U+0045`
`U+24a1`,146,151,`PARENTHESIZED LATIN SMALL LETTER F`,`Subscript f`,`⒡`,`F`,`U+0046`
`U+24a2`,152,157,`PARENTHESIZED LATIN SMALL LETTER G`,`Subscript g`,`⒢`,`G`,`U+0047`
`U+24a3`,160,166,`PARENTHESIZED LATIN SMALL LETTER H`,`Subscript h`,`⒣`,`H`,`U+0048`
`U+24a4`,169,174,`PARENTHESIZED LATIN SMALL LETTER I`,`Subscript i`,`⒤`,`I`,`U+0049`
`U+24a5`,191,196,`PARENTHESIZED LATIN SMALL LETTER J`,`Subscript j`,`⒥`,`J`,`U+004a`
`U+24a6`,197,202,`PARENTHESIZED LATIN SMALL LETTER K`,`Subscript k`,`⒦`,`K`,`U+004b`
`U+24a7`,203,208,`PARENTHESIZED LATIN SMALL LETTER L`,`Subscript l`,`⒧`,`L`,`U+004c`
`U+24a8`,215,220,`PARENTHESIZED LATIN SMALL LETTER M`,`Subscript m`,`⒨`,`M`,`U+004d`
`U+24a9`,221,226,`PARENTHESIZED LATIN SMALL LETTER N`,`Subscript n`,`⒩`,`N`,`U+004e`
`U+24aa`,234,239,`PARENTHESIZED LATIN SMALL LETTER O`,`Subscript o`,`⒪`,`O`,`U+004f`
`U+24ab`,259,264,`PARENTHESIZED LATIN SMALL LETTER P`,`Subscript p`,`⒫`,`P`,`U+0050`
`U+24ac`,265,270,`PARENTHESIZED LATIN SMALL LETTER Q`,`Subscript q`,`⒬`,`Q`,`U+0051`
`U+24ad`,272,277,`PARENTHESIZED LATIN SMALL LETTER R`,`Subscript r`,`⒭`,`R`,`U+0052`
`U+24ae`,283,288,`PARENTHESIZED LATIN SMALL LETTER S`,`Subscript s`,`⒮`,`S`,`U+0053`
`U+24af`,296,302,`PARENTHESIZED LATIN SMALL LETTER T`,`Subscript t`,`⒯`,`T`,`U+0054`
`U+24b0`,307,312,`PARENTHESIZED LATIN SMALL LETTER U`,`Subscript u`,`⒰`,`U`,`U+0055`
`U+24b1`,331,336,`PARENTHESIZED LATIN SMALL LETTER V`,`Subscript v`,`⒱`,`V`,`U+0056`
`U+24b2`,337,342,`PARENTHESIZED LATIN SMALL LETTER W`,`Subscript w`,`⒲`,`W`,`U+0057`
`U+24b3`,345,350,`PARENTHESIZED LATIN SMALL LETTER X`,`Subscript x`,`⒳`,`X`,`U+0058`
`U+24b4`,355,360,`PARENTHESIZED LATIN SMALL LETTER Y`,`Subscript y`,`⒴`,`Y`,`U+0059`
`U+24b5`,369,374,`PARENTHESIZED LATIN SMALL LETTER Z`,`Subscript z`,`⒵`,`Z`,`U+005a`
`U+24b6`,63,65,`CIRCLED LATIN CAPITAL LETTER A`,`Superscript A`,`Ⓐ`,`A`,`U+0041`
`U+24b7`,89,91,`CIRCLED LATIN CAPITAL LETTER B`,`Superscript B`,`Ⓑ`,`B`,`U+0042`
`U+24b8`,95,97,`CIRCLED LATIN CAPITAL LETTER C`,`Superscript C`,`Ⓒ`,`C`,`U+0043`
`U+24b9`,109,111,`CIRCLED LATIN CAPITAL LETTER D`,`Superscript D`,`Ⓓ`,`D`,`U+0044`
`U+24ba`,121,123,`CIRCLED LATIN CAPITAL LETTER E`,`Superscript E`,`Ⓔ`,`E`,`U+0045`
`U+24bb`,146,148,`CIRCLED LATIN CAPITAL LETTER F`,`Superscript F`,`Ⓕ`,`F`,`U+0046`
`U+24bc`,152,154,`CIRCLED LATIN CAPITAL LETTER G`,`Superscript G`,`Ⓖ`,`G`,`U+0047`
`U+24bd`,160,163,`CIRCLED LATIN CAPITAL LETTER H`,`Superscript H`,`Ⓗ`,`H`,`U+0048`
`U+24be`,169,171,`CIRCLED LATIN CAPITAL LETTER I`,`Superscript I`,`Ⓘ`,`I`,`U+0049`
`U+24bf`,191,193,`CIRCLED LATIN CAPITAL LETTER J`,`Superscript J`,`Ⓙ`,`J`,`U+004a`
`U+24c0`,197,199,`CIRCLED LATIN CAPITAL LETTER K`,`Superscript K`,`Ⓚ`,`K`,`U+004b`
`U+24c1`,203,205,`CIRCLED LATIN CAPITAL LETTER L`,`Superscript L`,`Ⓛ`,`L`,`U+004c`
`U+24c2`,215,217,`CIRCLED LATIN CAPITAL LETTER M`,`Superscript M`,`Ⓜ`,`M`,`U+004d`
`U+24c3`,221,223,`CIRCLED LATIN CAPITAL LETTER N`,`Superscript N`,`Ⓝ`,`N`,`U+004e`
`U+24c4`,234,236,`CIRCLED LATIN CAPITAL LETTER O`,`Superscript O`,`Ⓞ`,`O`,`U+004f`
`U+24c5`,259,261,`CIRCLED LATIN CAPITAL LETTER P`,`Superscript P`,`Ⓟ`,`P`,`U+0050`
`U+24c6`,265,267,`CIRCLED LATIN CAPITAL LETTER Q`,`Superscript Q`,`Ⓠ`,`Q`,`U+0051`
`U+24c7`,272,274,`CIRCLED LATIN CAPITAL LETTER R`,`Superscript R`,`Ⓡ`,`R`,`U+0052`
`U+24c8`,283,285,`CIRCLED LATIN CAPITAL LETTER S`,`Superscript S`,`Ⓢ`,`S`,`U+0053`
`U+24c9`,296,298,`CIRCLED LATIN CAPITAL LETTER T`,`Superscript T`,`Ⓣ`,`T`,`U+0054`
`U+24ca`,307,309,`CIRCLED LATIN CAPITAL LETTER U`,`Superscript U`,`Ⓤ`,`U`,`U+0055`
`U+24cb`,331,333,`CIRCLED LATIN CAPITAL LETTER V`,`Superscript V`,`Ⓥ`,`V`,`U+0056`
`U+24cc`,337,339,`CIRCLED LATIN CAPITAL LETTER W`,`Superscript W`,`Ⓦ`,`W`,`U+0057`
`U+24cd`,345,347,`CIRCLED LATIN CAPITAL LETTER X`,`Superscript X`,`Ⓧ`,`X`,`U+0058`
`U+24ce`,355,357,`CIRCLED LATIN CAPITAL LETTER Y`,`Superscript Y`,`Ⓨ`,`Y`,`U+0059`
`U+24cf`,369,371,`CIRCLED LATIN CAPITAL LETTER Z`,`Superscript Z`,`Ⓩ`,`Z`,`U+005a`
`U+24d0`,63,66,`CIRCLED LATIN SMALL LETTER A`,`Subscript A`,`ⓐ`,`A`,`U+0041`
`U+24d1`,89,92,`CIRCLED LATIN SMALL LETTER B`,`Subscript B`,`ⓑ`,`B`,`U+0042`
`U+24d2`,95,98,`CIRCLED LATIN SMALL LETTER C`,`Subscript C`,`ⓒ`,`C`,`U+0043`
`U+24d3`,109,112,`CIRCLED LATIN SMALL LETTER D`,`Subscript D`,`ⓓ`,`D`,`U+0044`
`U+24d4`,121,124,`CIRCLED LATIN SMALL LETTER E`,`Subscript E`,`ⓔ`,`E`,`U+0045`
`U+24d5`,146,149,`CIRCLED LATIN SMALL LETTER F`,`Subscript F`,`ⓕ`,`F`,`U+0046`
`U+24d6`,152,155,`CIRCLED LATIN SMALL LETTER G`,`Subscript G`,`ⓖ`,`G`,`U+0047`
`U+24d7`,160,164,`CIRCLED LATIN SMALL LETTER H`,`Subscript H`,`ⓗ`,`H`,`U+0048`
`U+24d8`,169,172,`CIRCLED LATIN SMALL LETTER I`,`Subscript I`,`ⓘ`,`I`,`U+0049`
`U+24d9`,191,194,`CIRCLED LATIN SMALL LETTER J`,`Subscript J`,`ⓙ`,`J`,`U+004a`
`U+24da`,197,200,`CIRCLED LATIN SMALL LETTER K`,`Subscript K`,`ⓚ`,`K`,`U+004b`
`U+24db`,203,206,`CIRCLED LATIN SMALL LETTER L`,`Subscript L`,`ⓛ`,`L`,`U+004c`
`U+24dc`,215,218,`CIRCLED LATIN SMALL LETTER M`,`Subscript M`,`ⓜ`,`M`,`U+004d`
`U+24dd`,221,224,`CIRCLED LATIN SMALL LETTER N`,`Subscript N`,`ⓝ`,`N`,`U+004e`
`U+24de`,234,237,`CIRCLED LATIN SMALL LETTER O`,`Subscript O`,`ⓞ`,`O`,`U+004f`
`U+24df`,259,262,`CIRCLED LATIN SMALL LETTER P`,`Subscript P`,`ⓟ`,`P`,`U+0050`
`U+24e0`,265,268,`CIRCLED LATIN SMALL LETTER Q`,`Subscript Q`,`ⓠ`,`Q`,`U+0051`
`U+24e1`,272,275,`CIRCLED LATIN SMALL LETTER R`,`Subscript R`,`ⓡ`,`R`,`U+0052`
`U+24e2`,283,286,`CIRCLED LATIN SMALL LETTER S`,`Subscript S`,`ⓢ`,`S`,`U+0053`
`U+24e3`,296,300,`CIRCLED LATIN SMALL LETTER T`,`Subscript T`,`ⓣ`,`T`,`U+0054`
`U+24e4`,307,310,`CIRCLED LATIN SMALL LETTER U`,`Subscript U`,`ⓤ`,`U`,`U+0055`
`U+24e5`,331,334,`CIRCLED LATIN SMALL LETTER V`,`Subscript V`,`ⓥ`,`V`,`U+0056`
`U+24e6`,337,340,`CIRCLED LATIN SMALL LETTER W`,`Subscript W`,`ⓦ`,`W`,`U+0057`
`U+24e7`,345,348,`CIRCLED LATIN SMALL LETTER X`,`Subscript X`,`ⓧ`,`X`,`U+0058`
`U+24e8`,355,358,`CIRCLED LATIN SMALL LETTER Y`,`Subscript Y`,`ⓨ`,`Y`,`U+0059`
`U+24e9`,369,372,`CIRCLED LATIN SMALL LETTER Z`,`Subscript Z`,`ⓩ`,`Z`,`U+005a`
`U+2713`,9,610,`CHECK MARK`,`Check mark`,`✓`,`✓`,`U+2713`
`U+03DC`,448,600,`Greek Letter Digamma Unicode Character`,,`Ϝ`,`Ϝ`,`U+03DC`
`U+03DD`,448,600,`Greek Small Letter Digamma Unicode Character`,,`ϝ`,`Ϝ`,`U+03DC`
`U+03D8`,448,600,`Greek Letter Archaic Koppa Unicode Character`,,`Ϙ`,`Ϙ`,`U+03D8`
`U+03D9`,448,600,`Greek Small Letter Archaic Koppa Unicode Character`,,`ϙ`,`Ϙ`,`U+03D8`
`U+03E0`,448,600,`Greek Letter Sampi Unicode Character`,,`Ϡ`,`Ϡ`,`U+03E0`
`U+03E1`,448,600,`Greek Small Letter Sampi Unicode Character`,,`ϡ`,`Ϡ`,`U+03E0`
`U+21D2`,512,512,`Rightwards Double Arrow`,`Convert to XXX`,`⇒`,`⇒`,`U+2192`
`U+21D4`,512,512,`Left Right Double Arrow`,`LR Double Arrow`,`⇔`,`⇔`,`U+2192`
`U+267A`,512,512,`Recycling Symbol For Generic Materials`,`Cyclic`,`♺`,`♺`,`U+267A`
`U+02bc`,367,512,`modifier letter apostrophe`,`Narrow Apostrophe`,`ʼ`,`ʼ`,`U+02bc`
`U+2788`,9,512,`fullwidth comma`,`wide comma`,`，`,`，`,`U+2788`
`U+22c5`,531,512,`dot operator`,`wide dot`,`⋅`,`⋅`,`U+22c5`
`U+2789`,9,512,`fullwidth full stop`,`wide period`,`．`,`．`,`U+2789`
`U+033a`,367,512,`inverted bridge`,`narrow space`,`．`,`．`,`U+033a`
`U+22A2`,571,512,`right tack`,`right tack`,`⊢`,`⊢`,`U+22A2`
`U+267b`,95,512,`Custom C`,`Caps Lock`,`C`,`C`,`U+0043`
`U+267e`,221,512,`Custom N`,`Num Lock`,`N`,`N`,`U+004e`
`U+2147`,121,121,`Double-Struck Italic Small E`,`eEuler`,`ⅇ`,`e`,`U+0045`
`U+2148`,169,169,`Double-Struck Italic Small I`,`op-i`,`ⅈ`,`j`,`U+0049`
`U+2149`,191,191,`Double-Struck Italic Small J`,`op-j`,`ⅉ`,`j`,`U+004a`
`U+1E9D`,146,146,`longshighstroke`,`long f`,`ẝ`,`f`,`U+0046`
`U+1E9F`,152,152,`delta`,`long g`,`ẟ`,`g`,`U+0047`
`U+2024`,485,485,`Double Circled Digit 1`,`Full HP stop`,`․`,`.`,`U+002e`
`U+24EA`,10,10,`Circled Digit ZERO`,`Digit HP 0`,`⓪`,`0`,`U+0030`
`U+24F5`,15,15,`Double Circled Digit ONE`,`Digit HP 1`,`⓵`,`1`,`U+0031`
`U+24F6`,22,22,`Double Circled Digit TWO`,`Digit HP 2`,`⓶`,`2`,`U+0032`
`U+24F7`,26,26,`Double Circled Digit THREE`,`Digit HP 3`,`⓷`,`3`,`U+0033`
`U+24F8`,31,31,`Double Circled Digit FOUR`,`Digit HP 4`,`⓸`,`4`,`U+0034`
`U+24F9`,35,35,`Double Circled Digit FIVE`,`Digit HP 5`,`⓹`,`5`,`U+0035`
`U+24FA`,39,39,`Double Circled Digit SIX`,`Digit HP 6`,`⓺`,`6`,`U+0036`
`U+24FB`,43,43,`Double Circled Digit SEVEN`,`Digit HP 7`,`⓻`,`7`,`U+0037`
`U+24FC`,47,47,`Double Circled Digit EIGHT`,`Digit HP 8`,`⓼`,`8`,`U+0038`
`U+24FD`,51,51,`Double Circled Digit NINE`,`Digit HP 9`,`⓽`,`9`,`U+0039`
`U+24FE`,51,51,`Double Circled Digit TEN`,`HP MINUS`,`-`,`-`,`U+002d`
`U+24FF`,51,51,`Negative Circled Digit Zero`,`HP PLUS`,`+`,`+`,`U+002b`
`U+2dea`,424,426,`Sub Pi`,`Sub pi`,`π`,`π`,`U+03a0`
`U+2deb`,424,426,`Sup Pi`,`Sup pi`,`π`,`π`,`U+03a0`
`U+2dec`,424,426,`pi radians`,`pi r`,`π`,`π`,`U+03a0`
`U+001D`,1,9,`INFORMATION SEPARATOR THREE`,,,,`U+0020`
,,,,,,,
