`Code point`,`Rank 1`,`Rank 2`,`Unicode name`,`WP43 usage`,`Glyph`,`Replacement`,`Code point`
`U+00da`,307,315,`LATIN CAPITAL LETTER U WITH ACUTE`,`U accute`,`Ú`,`U`,`U+0055`
`U+00db`,307,317,`LATIN CAPITAL LETTER U WITH CIRCUMFLEX`,`U circumflex`,`Û`,`U`,`U+0055`
`U+00dc`,307,319,`LATIN CAPITAL LETTER U WITH DIAERESIS`,`U diaresis`,`Ü`,`U`,`U+0055`
`U+00dd`,355,361,`LATIN CAPITAL LETTER Y WITH ACUTE`,`Y accute`,`Ý`,`Y`,`U+0059`
`U+00df`,283,295,`LATIN SMALL LETTER SHARP S`,`sz`,`ß`,`S`,`U+0053`
`U+00e0`,63,70,`LATIN SMALL LETTER A WITH GRAVE`,`a grave`,`à`,`A`,`U+0041`
`U+00e1`,63,72,`LATIN SMALL LETTER A WITH ACUTE`,`a accute`,`á`,`A`,`U+0041`
`U+00e2`,63,74,`LATIN SMALL LETTER A WITH CIRCUMFLEX`,`a circumflex`,`â`,`A`,`U+0041`
`U+00e3`,63,76,`LATIN SMALL LETTER A WITH TILDE`,`a tilde`,`ã`,`A`,`U+0041`
`U+00e4`,63,78,`LATIN SMALL LETTER A WITH DIAERESIS`,`a diaresis`,`ä`,`A`,`U+0041`
`U+00e5`,63,80,`LATIN SMALL LETTER A WITH RING ABOVE`,`a ring`,`å`,`A`,`U+0041`
`U+00e6`,63,82,`LATIN SMALL LETTER AE`,`ae`,`æ`,`A`,`U+0041`
`U+00e7`,95,102,`LATIN SMALL LETTER C WITH CEDILLA`,`c cedilla`,`ç`,`C`,`U+0043`
`U+00e8`,121,128,`LATIN SMALL LETTER E WITH GRAVE`,`e grave`,`è`,`E`,`U+0045`
`U+00e9`,121,130,`LATIN SMALL LETTER E WITH ACUTE`,`e accute`,`é`,`E`,`U+0045`
`U+00ea`,121,132,`LATIN SMALL LETTER E WITH CIRCUMFLEX`,`e circumflex`,`ê`,`E`,`U+0045`
`U+00eb`,121,134,`LATIN SMALL LETTER E WITH DIAERESIS`,`e diaresis`,`ë`,`E`,`U+0045`
`U+00ec`,169,176,`LATIN SMALL LETTER I WITH GRAVE`,`i grave`,`ì`,`I`,`U+0049`
`U+00ed`,169,178,`LATIN SMALL LETTER I WITH ACUTE`,`i accute`,`í`,`I`,`U+0049`
`U+00ee`,169,180,`LATIN SMALL LETTER I WITH CIRCUMFLEX`,`i circumflex`,`î`,`I`,`U+0049`
`U+00ef`,169,182,`LATIN SMALL LETTER I WITH DIAERESIS`,`i diaresis`,`ï`,`I`,`U+0049`
`U+00f0`,109,116,`LATIN SMALL LETTER ETH`,`eth`,`ð`,`D`,`U+0044`
`U+00f1`,221,228,`LATIN SMALL LETTER N WITH TILDE`,`n tilde`,`ñ`,`N`,`U+004E`
`U+00f2`,234,242,`LATIN SMALL LETTER O WITH GRAVE`,`o grave`,`ò`,`O`,`U+004F`
`U+00f3`,234,244,`LATIN SMALL LETTER O WITH ACUTE`,`o accute`,`ó`,`O`,`U+004F`
`U+00f4`,234,246,`LATIN SMALL LETTER O WITH CIRCUMFLEX`,`o circumflex`,`ô`,`O`,`U+004F`
`U+00f5`,234,248,`LATIN SMALL LETTER O WITH TILDE`,`o tilde`,`õ`,`O`,`U+004F`
`U+00f6`,234,250,`LATIN SMALL LETTER O WITH DIAERESIS`,`o diaresis`,`ö`,`O`,`U+004F`
`U+00f7`,492,494,`DIVISION SIGN`,`Obelus`,`÷`,`:`,`U+003a`
`U+00f8`,234,252,`LATIN SMALL LETTER O WITH STROKE`,`o stroke`,`ø`,`O`,`U+004F`
`U+00f9`,307,314,`LATIN SMALL LETTER U WITH GRAVE`,`u grave`,`ù`,`U`,`U+0055`
`U+00fa`,307,316,`LATIN SMALL LETTER U WITH ACUTE`,`u accute`,`ú`,`U`,`U+0055`
`U+00fb`,307,318,`LATIN SMALL LETTER U WITH CIRCUMFLEX`,`u circumflex`,`û`,`U`,`U+0055`
`U+00fc`,307,320,`LATIN SMALL LETTER U WITH DIAERESIS`,`u diaresis`,`ü`,`U`,`U+0055`
`U+00fd`,355,362,`LATIN SMALL LETTER Y WITH ACUTE`,`y accute`,`ý`,`Y`,`U+0059`
